filepath,thesis_group,template,timeframe,description,params
thesis_05_cross_market_correlation/T05-E_c34_30min_1166.py,05,T05-E_c34,30min,"Rolling Correl Filter (correl=34)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;correl_window=34;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-E_c34_60min_1167.py,05,T05-E_c34,60min,"Rolling Correl Filter (correl=34)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;correl_window=34;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-F_r10_15min_1168.py,05,T05-F_r10,15min,"RS Ratio (rs=10)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rs_window=10;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-F_r10_30min_1169.py,05,T05-F_r10,30min,"RS Ratio (rs=10)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rs_window=10;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-F_r10_60min_1170.py,05,T05-F_r10,60min,"RS Ratio (rs=10)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rs_window=10;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-F_r20_15min_1171.py,05,T05-F_r20,15min,"RS Ratio (rs=20)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rs_window=20;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-F_r20_30min_1172.py,05,T05-F_r20,30min,"RS Ratio (rs=20)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rs_window=20;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-F_r20_60min_1173.py,05,T05-F_r20,60min,"RS Ratio (rs=20)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rs_window=20;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-F_r34_15min_1174.py,05,T05-F_r34,15min,"RS Ratio (rs=34)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rs_window=34;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-F_r34_30min_1175.py,05,T05-F_r34,30min,"RS Ratio (rs=34)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rs_window=34;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-F_r34_60min_1176.py,05,T05-F_r34,60min,"RS Ratio (rs=34)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rs_window=34;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-G_c10_15min_1177.py,05,T05-G_c10,15min,"Correlation Breakdown (correl=10)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;correl_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-G_c10_30min_1178.py,05,T05-G_c10,30min,"Correlation Breakdown (correl=10)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;correl_window=10;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-G_c10_60min_1179.py,05,T05-G_c10,60min,"Correlation Breakdown (correl=10)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;correl_window=10;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-G_c20_15min_1180.py,05,T05-G_c20,15min,"Correlation Breakdown (correl=20)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;correl_window=20;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-G_c20_30min_1181.py,05,T05-G_c20,30min,"Correlation Breakdown (correl=20)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;correl_window=20;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-G_c20_60min_1182.py,05,T05-G_c20,60min,"Correlation Breakdown (correl=20)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;correl_window=20;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-G_c34_15min_1183.py,05,T05-G_c34,15min,"Correlation Breakdown (correl=34)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;correl_window=34;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-G_c34_30min_1184.py,05,T05-G_c34,30min,"Correlation Breakdown (correl=34)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;correl_window=34;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-G_c34_60min_1185.py,05,T05-G_c34,60min,"Correlation Breakdown (correl=34)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;correl_window=34;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_06_multifactor_composite/T06-A_z10_t2_0_15min_1186.py,06,T06-A_z10_t2.0,15min,"3-Factor Z (z=10, thr=2.0)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20;z_threshold=2.0;z_window=10"
thesis_06_multifactor_composite/T06-A_z10_t2_0_30min_1187.py,06,T06-A_z10_t2.0,30min,"3-Factor Z (z=10, thr=2.0)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26;z_threshold=2.0;z_window=10"
thesis_06_multifactor_composite/T06-A_z10_t2_0_60min_1188.py,06,T06-A_z10_t2.0,60min,"3-Factor Z (z=10, thr=2.0)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rsi_window=21;vol_window=34;z_threshold=2.0;z_window=10"
thesis_06_multifactor_composite/T06-A_z10_t3_0_15min_1189.py,06,T06-A_z10_t3.0,15min,"3-Factor Z (z=10, thr=3.0)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20;z_threshold=3.0;z_window=10"
thesis_06_multifactor_composite/T06-A_z10_t3_0_30min_1190.py,06,T06-A_z10_t3.0,30min,"3-Factor Z (z=10, thr=3.0)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26;z_threshold=3.0;z_window=10"
thesis_06_multifactor_composite/T06-A_z10_t3_0_60min_1191.py,06,T06-A_z10_t3.0,60min,"3-Factor Z (z=10, thr=3.0)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rsi_window=21;vol_window=34;z_threshold=3.0;z_window=10"
thesis_06_multifactor_composite/T06-A_z20_t2_0_15min_1192.py,06,T06-A_z20_t2.0,15min,"3-Factor Z (z=20, thr=2.0)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20;z_threshold=2.0;z_window=20"
thesis_06_multifactor_composite/T06-A_z20_t2_0_30min_1193.py,06,T06-A_z20_t2.0,30min,"3-Factor Z (z=20, thr=2.0)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26;z_threshold=2.0;z_window=20"
thesis_06_multifactor_composite/T06-A_z20_t2_0_60min_1194.py,06,T06-A_z20_t2.0,60min,"3-Factor Z (z=20, thr=2.0)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rsi_window=21;vol_window=34;z_threshold=2.0;z_window=20"
thesis_06_multifactor_composite/T06-A_z20_t3_0_15min_1195.py,06,T06-A_z20_t3.0,15min,"3-Factor Z (z=20, thr=3.0)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20;z_threshold=3.0;z_window=20"
thesis_06_multifactor_composite/T06-A_z20_t3_0_30min_1196.py,06,T06-A_z20_t3.0,30min,"3-Factor Z (z=20, thr=3.0)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26;z_threshold=3.0;z_window=20"
