file,filename,universe,mode,status,n_fields,n_pv_fields,n_quarterly,n_annual,field_valid,all_fields_valid,has_universe_gate,has_financial_gate,has_liquidity_gate,has_pos_denominator,has_positions_api,n_feat_ops,n_op_ops,feat_ops,op_ops,train_sharpe,test_sharpe,train_cagr,test_cagr,cagr,sharpe,profit_factor,max_drawdown
vn_mid_cap/cross_sectional/VnMidCsActiveDeleveraging.py,VnMidCsActiveDeleveraging.py,VN-MID-CAP,cross_sectional,SIMULATED,6,2,3,3,yes,True,0,0,1,1,1,5,2,"delta_panel,ema_panel,rolling_sum_panel,rolling_value_panel,safe_divide_panel","portfolio_weights_panel,rank_cs_panel",1.8598003467637025,0.27417689896849373,0.38862568644388973,0.02089175298012047,0.2268254272621235,1.2756934962743876,1.3228143156459415,-0.21495186066984262
vn_mid_cap/cross_sectional/VnMidCsAntiDilution.py,VnMidCsAntiDilution.py,VN-MID-CAP,cross_sectional,SIMULATED,3,0,0,3,yes,True,0,0,0,1,1,2,3,"delta_panel,safe_divide_panel","portfolio_weights_panel,rank_cs_panel,zscore_cs_panel",1.6369954056580192,-0.3553463083245075,0.10952664442444093,-0.01707595447498489,0.05554185626869468,0.8747596018065186,1.1730175676872348,-0.10245055007771975
vn_mid_cap/cross_sectional/VnMidCsAntiLotteryMaxReturn.py,VnMidCsAntiLotteryMaxReturn.py,VN-MID-CAP,cross_sectional,SIMULATED,4,2,4,0,yes,True,0,0,1,1,1,5,2,"ema_panel,returns_panel,rolling_max_panel,rolling_value_panel,safe_divide_panel","portfolio_weights_panel,rank_cs_panel",1.8525252884530756,0.2452983789535182,0.3859847860890102,0.01859224904423762,0.22449326091230737,1.2655443169943486,1.3201967817032443,-0.21532129338614758
vn_mid_cap/cross_sectional/VnMidCsAssetGrowthNeutral.py,VnMidCsAssetGrowthNeutral.py,VN-MID-CAP,cross_sectional,SIMULATED,2,0,0,2,yes,True,0,0,0,1,1,3,3,"delta_panel,ema_panel,safe_divide_panel","portfolio_weights_panel,rank_cs_panel,zscore_cs_panel",1.1499988845294915,0.4732308519479392,0.08937044908979597,0.02281213320902986,0.052614443664570354,0.7352318290284384,1.1344143613658857,-0.15067598666624848
vn_mid_cap/cross_sectional/VnMidCsAssetGrowthNeutralLoose.py,VnMidCsAssetGrowthNeutralLoose.py,VN-MID-CAP,cross_sectional,,2,0,0,2,yes,True,0,0,0,1,1,3,3,"delta_panel,ema_panel,safe_divide_panel","portfolio_weights_panel,rank_cs_panel,zscore_cs_panel",,,,,,,,
vn_mid_cap/cross_sectional/VnMidCsCashAccrualQuality.py,VnMidCsCashAccrualQuality.py,VN-MID-CAP,cross_sectional,SIMULATED,6,2,3,3,yes,True,0,0,1,1,1,3,2,"ema_panel,rolling_value_panel,safe_divide_panel","portfolio_weights_panel,rank_cs_panel",1.852687420839555,0.1509640666368933,0.3901460661394567,0.011278802439606661,0.2245286015691501,1.2547790206550238,1.3199288281735513,-0.21811138308491518
vn_mid_cap/cross_sectional/VnMidCsCashConfirmedPatSurprise.py,VnMidCsCashConfirmedPatSurprise.py,VN-MID-CAP,cross_sectional,SIMULATED,3,0,0,3,yes,True,0,0,0,1,1,2,3,"ema_panel,safe_divide_panel","portfolio_weights_panel,rank_cs_panel,zscore_cs_panel",-0.07331233285812162,-0.054202245379821594,-0.004196546139012436,-0.0015079844568491874,-0.007730322654082689,-0.1471465647076916,0.9773437806508539,-0.13737104649521203
vn_mid_cap/cross_sectional/VnMidCsCashConversionInflection.py,VnMidCsCashConversionInflection.py,VN-MID-CAP,cross_sectional,SIMULATED,3,0,0,3,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",-0.4860396006010884,-1.049396516582554,-0.02675867866054249,-0.041518942383138246,-0.02169290523594869,-0.4077441199900533,0.9393079629335931,-0.12364679373059173
vn_mid_cap/cross_sectional/VnMidCsCashProfitability.py,VnMidCsCashProfitability.py,VN-MID-CAP,cross_sectional,SIMULATED,5,2,3,2,yes,True,0,0,1,1,1,3,2,"ema_panel,rolling_value_panel,safe_divide_panel","portfolio_weights_panel,rank_cs_panel",1.821928930542204,0.12568022900500989,0.38930004059013457,0.009358162256619895,0.2232145662368521,1.234211782362233,1.315861750406385,-0.21804506773955257
vn_mid_cap/cross_sectional/VnMidCsCfoSurprise.py,VnMidCsCfoSurprise.py,VN-MID-CAP,cross_sectional,SIMULATED,2,0,0,2,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",-0.017347193022434215,-1.2178415340943747,-0.0009357508410153814,-0.043100115542761275,-0.009301682905416886,-0.1633242181700497,0.975787959042181,-0.09637105541518465
vn_mid_cap/cross_sectional/VnMidCsEarnedToContributed.py,VnMidCsEarnedToContributed.py,VN-MID-CAP,cross_sectional,SIMULATED,3,0,3,0,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,zscore_cs_panel",0.2412073529420021,-0.6304442890919617,0.015284664636491918,-0.02561031926916213,-0.002185291891399377,-0.03851641612566141,0.9983166915714796,-0.14094430538703728
vn_mid_cap/cross_sectional/VnMidCsEnterpriseEarningsYield.py,VnMidCsEnterpriseEarningsYield.py,VN-MID-CAP,cross_sectional,SIMULATED,8,2,7,1,yes,True,0,0,1,1,1,3,2,"ema_panel,rolling_value_panel,safe_divide_panel","portfolio_weights_panel,rank_cs_panel",1.9159922843477755,0.3058669811208913,0.43952184392525306,0.02348390993947902,0.25489367530791496,1.325776324413378,1.3514550837138806,-0.17569997536020643
